id,payment_status,created_at,score,icc,status,age,gender,income,housing_type,economic_dependents,occupancy_type,level_of_studies,tenure,state,reasson,rate,term,total_debt,amount_to_be_lend,marital_status,1_day_>_delinquencies_in_the_last_6_months,30_days_>_delinquencies_in_the_last_12_months,Account_has_an_important_observation_code,Check_if_the_user_has_other_loan_requests_in_ANALYSIS,Check_if_the_user_has_past_approved_loan_request,Check_if_the_user_has_past_rejected_loan_request,Counting_all_loans,Counting_installment_loans_type_I__M__O__X,Counting_revolvent_loans_type_R,DebtWithoutRE&12mAU___AnualIncome,DebtWithoutRE_AnualIncome_Ratio,Debt_To_Income_ratio_(Digitt_12_months),Debt_To_Income_ratio_(Digitt_15_months),Debt_To_Income_ratio_(Digitt_9_months),Digitt_payment_12_months_VS_average_last_payments,Digitt_payment_15_months_VS_average_last_payments,Digitt_payment_9_months_VS_average_last_payments,Employer_matches_to_Buro_employer,Evaluating_how_long_the_user_has_been_in_buro,Get_accounts_opened_recently.,Inquiries_in_the_last_6_months,Loan_request_Address_matches_to_Buros_Address,Percentage_of_revolving_credit_solved_by_digitt_credit._digitt_credit_all_revolving_credit,Personal_info_matches_to_Buros_personal_info,Revolving_LoC_Usage_ratio,bank_0,name_0,match_balance_address_0,loan_amount_0,rate_0,bank_1,name_1,match_balance_address_1,loan_amount_1,rate_1,bank_2,name_2,match_balance_address_2,loan_amount_2,rate_2,bank_3,name_3,match_balance_address_3,loan_amount_3,rate_3,bank_4,name_4,match_balance_address_4,loan_amount_4,rate_4
8490,,2019-08-08 13:58:40.991977+00,658,6,REJECTED,29,F,10000,FAMILIA,0,Empleado,Licenciatura,1,Guanajuato,MONTHLY_DEBT_PAYMENT,31,12,54950,53646.69,SOLTERO,4,0,,,,,7,2,5,0.9612,0.9612,0.878,0.7885,1.0281,0.7185,0.599,0.9185,0.105263,126.786,1,2,0.642857,0.7991,0.911765,0.7234,Santander,Light,1,16954.06,49.44,Santander,Uni-Santander K,1,20165.34,75.48,Santander,Six Flags American Express,1,16527.29,87,,,,,,,,,,
8438,,2019-08-07 21:37:19.263827+00,711,7,APPROVED,29,F,19000,RENTADO,0,Empleado,Licenciatura,2,Jalisco,,23,9,17800,17721.45,CASADO,0,0,CL,,,,5,2,3,0.2854,0.2854,0.3544,0.3388,0.3805,1.447,1.1945,1.8691,0.157895,108.732,0,2,0.528302,0.5621,1,0.5272,Santander,Uni-Santander K,-1,17721.45,58.49,,,,,,,,,,,,,,,,,,,,
8436,,2019-08-07 21:02:34.675372+00,637,3,REJECTED,32,M,45000,FAMILIA,0,Empleado,Licenciatura,3,Veracruz de Ignacio de la Llave,MONTHLY_DEBT_PAYMENT | SMALL_PREVIUS_PAYMENTS | LOAN_LARGER_60K | MANY_OPEN_ACCOUNTS | HIGH_CREDIT_LINE_USAGE | MANY_NEW_ACCOUNTS,34,12,60000,113115.84,SOLTERO,1,0,,,,,14,6,8,0.7534,0.9601,0.8551,0.8132,0.9254,1.3832,1.1575,1.7618,0.0689655,108.28,7,17,0.694915,0.3996,1,0.9901,Banorte,Oro,1,64800.84,59.5,Citibanamex,Platinum,1,48315,38.17,,,,,,,,,,,,,,,
8432,,2019-08-07 19:49:07.892238+00,632,2,REJECTED,22,M,33000,PROPIO,0,Empleado,Licenciatura,3,Michoacán de Ocampo,OTHER,34,9,58000,58978.7,SOLTERO,,0,,1,,,5,0,4,0.1545,0.1545,0.368,0.3382,0.418,0.404,0.3381,0.5146,0.232558,29.0522,9,17,0.632479,0.9642,1,0.963,BBVA Bancomer,Platinum,1,58978.7,36.47,,,,,,,,,,,,,,,,,,,,
8431,,2019-08-07 19:42:40.25846+00,632,2,APPROVED,22,M,32000,PROPIO,0,Empleado,Licenciatura,2,Michoacán de Ocampo,,34,9,58000,58978.7,SOLTERO,,0,,1,,,5,1,4,0.1593,0.1593,0.3795,0.3488,0.431,0.404,0.3381,0.5146,0.232558,29.052,9,17,0.632479,0.9642,1,0.963,BBVA Bancomer,Platinum,1,58978.7,45.84,,,,,,,,,,,,,,,,,,,,
8428,,2019-08-07 18:42:07.207565+00,646,3,REJECTED,30,M,11300,FAMILIA,3,Empleado,Preparatoria,2,Baja California,MONTHLY_DEBT_PAYMENT,32,15,18500,18382,CASADO,0,0,,,,,7,6,1,0.7757,0.7757,0.7043,0.6772,0.7498,0.7272,0.6071,0.9286,0.780488,133.728,14,14,0.32967,1.0392,1,0.9409,BanCoppel,BanCoppel Visa,1,18382,63.5,,,,,,,,,,,,,,,,,,,,
8421,,2019-08-07 15:59:58.751664+00,633,0,REJECTED,23,M,37000,PROPIO,0,Empleado,Licenciatura,3,Ciudad de México,LOAN_LARGER_60K,34,15,23110,23110,SOLTERO,0,3,CL,,1,,9,5,4,0.2822,0.2822,0.4182,0.4078,0.4357,0.1234,0.1032,0.1571,0.230769,68.2083,10,24,0.571429,0.28,1,1.038,American Express,The Gold Card,-1,23110,81.96,,,,,,,,,,,,,,,,,,,,
8413,,2019-08-07 09:20:19.479492+00,659,1,REJECTED,34,M,10000,PROPIO,0,Empleado,Licenciatura,8,Puebla,MONTHLY_DEBT_PAYMENT,31,12,41000,40802,SOLTERO,0,0,CL|CL|VR,,,1,22,7,15,1.2648,1.2648,1.5604,1.4923,1.6745,0.3622,0.302,0.463,0,135.522,2,6,0.794521,0.3069,1,0.7711,Santander,Free,1,28967,31,Inbursa,Clásica,1,7045,58.56,Inbursa,Interjet Clásica,1,4790,61.68,,,,,,,,,,
8402,Too early to know,2019-08-07 03:52:02.139772+00,687,5,APPROVED,27,M,37000,RENTADO,0,Empleado,Licenciatura,1,Jalisco,,27,12,35000,35522.76,SOLTERO,0,0,,,,,6,2,4,0.129,0.129,0.1668,0.1508,0.1937,0.4537,0.3764,0.5831,1,95.6759,0,6,0.747826,0.6201,1,0.9877,Santander,Oro,-1,35522.76,78,,,,,,,,,,,,,,,,,,,,
8397,,2019-08-07 01:59:07.274318+00,630,3,REJECTED,26,M,8200,FAMILIA,0,Empleado,Licenciatura,3,Nayarit,MONTHLY_DEBT_PAYMENT,35,12,19000,19000,SOLTERO,1,0,,,,1,10,4,6,1.0492,1.0492,1.0351,0.9965,1.0999,0.0841,0.0705,0.107,0.210526,78.0605,4,8,0.769231,0.3419,1,0.4907,BanCoppel,BanCoppel Visa,1,19000,63.5,,,,,,,,,,,,,,,,,,,,
