id,income,age,score,icc,rate,total_debt,amount_to_be_lend,F,M,FAMILIA,PROPIO,RENTADO,Empleado,Negocio propio,Retirado,Licenciatura,Posgrado,Preparatoria,CASADO,DIVORCIADO,SEPARADO,SOLTERO,UNION_LIBRE,VIUDO,APPROVED,REJECTED
8490,10000.0,29.0,658,6,31,54950,53646.69,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8438,19000.0,29.0,711,7,23,17800,17721.45,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
8436,45000.0,32.0,637,3,34,60000,113115.84,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8432,33000.0,22.0,632,2,34,58000,58978.7,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8431,32000.0,22.0,632,2,34,58000,58978.7,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
8428,11300.0,30.0,646,3,32,18500,18382.0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
8421,37000.0,23.0,633,0,34,23110,23110.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8413,10000.0,34.0,659,1,31,41000,40802.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8402,37000.0,27.0,687,5,27,35000,35522.76,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
8397,8200.0,26.0,630,3,35,19000,19000.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8395,16000.0,25.0,656,1,31,24000,23282.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8388,10500.0,28.0,677,7,28,50022,50022.68,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
8374,21000.0,39.0,627,5,35,41049,41049.7,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8366,4500.0,29.0,704,6,24,6746,6746.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
8363,7468.0,24.0,679,7,28,15361,15361.7,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
8352,5000.0,34.0,711,7,23,19000,23459.52,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
8351,14500.0,26.0,643,4,33,52500,77437.85,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
8345,16000.0,58.0,652,1,32,60841850,60841.0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
